SL,Compounds,   PID,BBB-Class,References,,
1,SCC(=O)[C@@]1(O)[C@@]2(C)[C@H]([C@H]3[C@H]([C@H](O)C2)[C@]2(C)C(=CC(=O)CC2)CC3)CC1,NA,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,BBB-Class 1: Permeable
803,O[C@@H](Cn1cncc1)c1ccc(CCc2ccccc2)cc1,76965184,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
804,O[C@@H](CN)c1cc(O)ccc1,719235,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
805,O[C@@H](C(C)C)C1CCCCC1,53466230,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
806,O[C@@H]([C@H](O)[C@H](O)CO)[C@H](O)CO,6251,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
807,O[C@@H]([C@@H](N)C)c1cc(O)ccc1,5906,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
808,O[C@@]4([H])CCN(CCCN2C1=CC=CC=C1[S]C3=C/C=C(/C#N)C=C23)CC4,4747,1,Shen et al. J Chem Inf Model.  2010;50(6):1034-1041. DOI: 10.1021/ci100104j ,,
809,O[C@@]3([H])N=C(/C1=C/C=C/C=C1/[F])C2=CC([Cl])=CC=C2N(CCC#N)C3=O,3033621,1,Shen et al. J Chem Inf Model.  2010;50(6):1034-1041. DOI: 10.1021/ci100104j ,,
810,O[C@@]2(C1=NCCCN1C3=CC=CC=C23)C4=CC=C/C=C4/[Cl],37825,1,Shen et al. J Chem Inf Model.  2010;50(6):1034-1041. DOI: 10.1021/ci100104j ,,
811,O[C@@]2([H])O[C@@]([H])(COCCO[C@@](O)([H])C([Cl])([Cl])[Cl])[C@@]([H])(O[C@@]1([H])O[C@@]([H])(COCCOCCO[C@@](O)([H])C([Cl])([Cl])[Cl])C[C@@]([H])(O[C@@](O)([H])C([Cl])([Cl])[Cl])[C@@]1(O)[H])[C@@]([H])(OCCOCCO[C@@](O)([H])C([Cl])([Cl])[Cl])[C@@]2(O)[H],NA,1,Shen et al. J Chem Inf Model.  2010;50(6):1034-1041. DOI: 10.1021/ci100104j ,,
812,O[C@@]12[C@@H](c3c(c(C)ccc3)Oc3c1cccc3)CNCC2,67837662,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
813,O[C@@]1(C(C)(C)C)C[C@H]2[N@@](C[C@H]3c4c2cccc4CCc2c3cccc2)CC1,37461,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
814,O[C@@]1([H])CC[C@@]2(O)[C@@]3([H])CC5=C/C=C(/O)C=6O[C@@]1([H])[C@@]2(CCN3C[C@@]4([H])CCC4)C5=6,5311304,1,Shen et al. J Chem Inf Model.  2010;50(6):1034-1041. DOI: 10.1021/ci100104j ,,
815,O[C@@]1([H])C=C[C@@]2([H])[C@@]3([H])CC4=C/C=C(/O)C=5O[C@@]1([H])[C@@]2(CCN3CC=C)C4=5,5284595,1,Shen et al. J Chem Inf Model.  2010;50(6):1034-1041. DOI: 10.1021/ci100104j ,,
816,O[C@@]([H])(CO[C@@]1(CCCCC1)C#C)CN2CCN(CC2)C3=C/C=C(/[F])C=C3,216227,1,Shen et al. J Chem Inf Model.  2010;50(6):1034-1041. DOI: 10.1021/ci100104j ,,
817,O[C@@]([H])(C(=O)N[C@@]1([H])C(=O)N2C(=C(C[S][C@@]12[H])C[S]/C3=N/N=NN3C[S](O)(=O)=O)C(O)=O)C4=CC=CC=C4,43594,0,Shen et al. J Chem Inf Model.  2010;50(6):1034-1041. DOI: 10.1021/ci100104j ,,
818,O/C4=C/C=C3C[C@@]1([H])N(CC[C@@]2(CCCC[C@@]12O)C3=C4)C[C@@]5([H])CCC5,5361092,1,Shen et al. J Chem Inf Model.  2010;50(6):1034-1041. DOI: 10.1021/ci100104j ,,
819,O/C4=C/C=C3C[C@@]1([H])N(CC[C@@]2(CCCC[C@@]12O)C3=C4)C[C@@]5([H])CC5,5361090,1,Shen et al. J Chem Inf Model.  2010;50(6):1034-1041. DOI: 10.1021/ci100104j ,,
820,O/C4=C/C=C3C[C@@]1([H])N(CC[C@@]2(CCCC[C@@]12[H])C3=C4)CC=C,5359371,1,Shen et al. J Chem Inf Model.  2010;50(6):1034-1041. DOI: 10.1021/ci100104j ,,
821,O/C4=C/C=C3C[C@@]1([H])N(CC[C@@]2(CCCC[C@@]12[H])C3=C4)CC(=O)C5=CC=CC=C5,5362482,1,Shen et al. J Chem Inf Model.  2010;50(6):1034-1041. DOI: 10.1021/ci100104j ,,
822,O/C3=C/C=CC=4C[C@@]1([H])N(CC[C@@]2(CC(=O)CC[C@@]12[H])C3=4)C[C@@]5([H])CC5,5490677,1,Shen et al. J Chem Inf Model.  2010;50(6):1034-1041. DOI: 10.1021/ci100104j ,,
823,O/C2=C/C=C1C[C@@]4([H])N(CC[C@@]35C1=C2O[C@@]3([H])C(=O)CC[C@@]45O)CC=C,5284596,1,Shen et al. J Chem Inf Model.  2010;50(6):1034-1041. DOI: 10.1021/ci100104j ,,
824,O/C2=C/C=C1C[C@@]4([H])N(CC[C@@]35C1=C2O[C@@]3([H])C(=O)CC[C@@]45O)C[C@@]6([H])CC6,5360515,1,Shen et al. J Chem Inf Model.  2010;50(6):1034-1041. DOI: 10.1021/ci100104j ,,
825,O/C2=C/C=C1C[C@@]4([H])N(CC[C@@]35C1=C2O[C@@]3([H])C(=C)CC[C@@]45O)C[C@@]6([H])CC6,5284594,1,Shen et al. J Chem Inf Model.  2010;50(6):1034-1041. DOI: 10.1021/ci100104j ,,
826,O(CCOC)C[C@H]1O[C@H]2[C@@H](C)[C@@H]([C@H](C)C[C@@](O)(C)[C@H](O[C@@H]3[C@H](O)[C@@H](N(C)C)C[C@H](C)O3)[C@@H](C)[C@H](O[C@@H]3O[C@H](C)[C@H](O)[C@](OC)(C)C3)[C@@H](C)C(=O)O[C@@H](CC)[C@]2(O)C)N1,NA,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
827,O(CCO)Cn1c2NC(N)=NCc2nc1,129869467,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
828,O(CCN1[C@@H]2[C@@]3(O)[C@]4([C@H](C(=O)CC3)Oc3c(O)ccc(c43)C2)CC1)C,NA,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
829,O(CCN(C)C)c1ccc(/C(=C(\CC)/c2ccccc2)/c2ccccc2)cc1,3032583,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
830,O(CCN(C)C)[C@]1(Cc2ccccc2)[C@@]2(C)C(C)(C)[C@@H](C1)CC2,76960606,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
831,O(CCCN[C-]([N+H3])N)c1ccccc1,NA,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
832,O(CCc1ccc(OC[C@H](O)CNC(C)C)cc1)C,157717,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
833,O(CC)c1c2O[C@H](CNCCCC)COc2ccc1,76959587,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
834,O(CC)c1c(OC[C@@H]2OCCNC2)cccc1,12226596,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
835,O(CC)[C@H]1c2c(N(C)C(=O)c3c1cccc3)cccc2,76956927,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
836,O(C[C@H]1OCCNC1)c1c(Cc2sccc2)cccc1,11608975,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
837,O(C[C@H]1OC(=O)NC1)c1cc(C)cc(C)c1,28125517,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
838,O(C[C@H]1OC(=O)N(c2ccc(OCc3cc(C#N)ccc3)cc2)C1)C,24835267,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
839,O(C[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](Oc2cc(O)c3C(=O)C=C(c4cc(O)c(OC)cc4)Oc3c2)O1)[C@H]1[C@H](O)[C@H](O)[C@@H](O)[C@@H](C)O1,NA,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
840,O(C[C@H](O)CNC(C)C)c1c2c(ccc1)cccc2,21138,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
841,O(C[C@H](O)CNC(C)C)c1c2c([nH]cc2)ccc1,155030,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
842,O(C[C@H](O)CNC(C)(C)C)c1c2c(ccc1)C[C@H](O)[C@@H](O)C2,92170354,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
843,O(C[C@H](O)CN1CCN(c2c(OC)cccc2)CC1)c1cc(OC)c(OC)c(OC)c1,29919953,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
844,O(C[C@H](N)C)c1c(C)cccc1C,180621,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
845,O(C[C@H](CN(Cc1ccccc1)c1ccccc1)N1CCCC1)CC(C)C,445143,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
846,O(C[C@@H]1OCCNC1)c1c2N(C)CCCc2ccc1,6336171,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
847,O(C[C@@H]1OCCNC1)c1c2c(ccc1)C=CC2,67212739,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
848,O(C[C@@H]1OC(=O)NC1)c1c(OC)cccc1,76972536,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
849,O(C[C@@H]1[C@@H](c2ccccc2)CCN(C)C1)c1ccc(OC)cc1,3012003,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
850,O(C[C@@H](NN)C)c1ccccc1,76971559,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
851,O(C)c1ccc(N2C(=O)O[C@H](CN3CCC(O)(c4cc5OCOc5cc4)CC3)C2)cc1,15034726,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
852,O(C)c1ccc([C@H](CN(C)C)C2(O)CCCCC2)cc1,9795623,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
853,O(C)c1cc2N(CC[C@H]3N(C)CCCC3)c3c(Sc2cc1)cccc3,53298655,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
854,O(C)c1cc2N(C[C@H](CN(C)C)C)c3c(Sc2cc1)cccc3,165002,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
855,O(C)c1cc2N(C[C@@H](CN3CCC(O)CC3)C)c3c(Sc2cc1)cccc3,86310135,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
856,O(C)c1cc2c(CCC[C@H]3[C@H](C=C)CNCC3)ccnc2cc1,3038482,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
857,O(C)c1cc2[C@@](O)(CCCN(C)C)c3c(Sc2cc1)cccc3,76968631,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
858,O(C)c1cc2/C(=C/CCN(C)C)/c3c(Oc2cc1)cccc3,6445008,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
859,O(C)c1cc(CN[C@H]2[C@H](c3ccccc3)NCCC2)c2OCCc2c1,NA,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
860,O(C)c1cc([C@]2(O)[C@@H](CN(C)C)CCCC2)ccc1,33741,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
861,O(C)c1c2O[C@H]3C(=O)CC[C@]4(O)[C@@H]5N(C)CC[C@]34c2c(cc1)C5,124301666,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
862,O(C)c1c2O[C@H]3[C@H](O)C=C[C@@H]4[C@@H]5NCC[C@]34c2c(cc1)C5,NA,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
863,O(C)c1c2O[C@@H]3C(=O)CC[C@@H]4[C@H]5N(C)CC[C@@]34c2c(cc1)C5,5420817,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
864,O(C)c1c2O[C@@H]3C(=O)C[C@@H](CC)[C@@H]4[C@H]5N(CC6CC6)CC[C@@]34c2c(cc1)C5,NA,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
865,O(C)c1c2O[C@@H]3[C@]4(c2c(cc1)CN(C)CC4)C=C[C@@H](O)C3,676392,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
866,O(C)c1c2O[C@@H]3[C@@H](O)CC[C@@H]4[C@H]5N(C)CC[C@@]34c2c(cc1)C5,NA,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
867,O(C)c1c2O[C@@H]3[C@@H](O)C=C[C@@H]4[C@H]5N(C)CC[C@@]34c2c(cc1)C5,51018332,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
868,O(C)c1c2c(OC[C@@H](CCCNCCCCN3C(=O)CC4(CC3=O)CCCC4)C2)ccc1,69889526,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
869,O(C)c1c2C(=O)c3c(O)c4[C@H](O)C[C@@](O)([C@@H](O)CO)Cc4c(O)c3C(=O)c2ccc1,124389688,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
870,O(C)c1c(OC2CCCC2)cc([C@@H]2CC(=O)NC2)cc1,158758,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
871,O(C)c1c(OC)ccc2c1[C@@]13[C@](O)([C@H](N(C)CC1)C2)CC[C@H](O)C3,5492871,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
872,O(C)c1c(OC)ccc2[C@@H]([C@H]3N(C)CCc4c3c(OC)c3OCOc3c4)OC(=O)c12,1712056,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
873,O(C)c1c(OC)ccc(C2=NN=C(C)[C@@H](CC)c3c2cc(OC)c(OC)c3)c1,7048810,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
874,O(C)c1c(OC)ccc(C=2N(N)C(C)=C(CC)[C@@H]3C=2C=C(OC)C(OC)=C3)c1,NA,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
875,O(C)c1c(OC)ccc([C@H](O)CN2CCN(C(c3ccccc3)c3ccccc3)CC2)c1,76961249,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
876,O(C)c1c(OC)ccc([C@@H](O)CN2CCN(C=3C(=O)C=CC=CC=3)CC2)c1,13298564,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
877,O(C)c1c(OC)ccc([C@@](C#N)(C(C)C)CCCN(CCc2cc(OC)c(OC)cc2)C)c1,92305,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
878,O(C)c1c(OC)cc2c(C(=O)[C@H](CC3CCN(Cc4ccccc4)CC3)C2)c1,1150567,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
879,O(C)c1c(OC)cc2c([C@H]3[N@](C[C@@H](CC(C)C)C(=O)C3)CC2)c1,6540815,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
880,O(C)c1c(OC)cc2c([C@H](c3ccccc3)CN(C)CC2)c1,6603996,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
881,O(C)c1c(OC)cc2c([C@H](C[C@@H]3[C@@H](CC)C[N@@]4[C@H](c5c(cc(OC)c(OC)c5)CC4)C3)NCC2)c1,164646,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
882,O(C)c1c(O)c2C3(C=CC(=O)C=C3)C[C@H]3N(C)CCc(c23)c1,442245,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
883,O(C)c1c(N2CCN(CCCCN3C(=O)[C@@H]4C(=O)N(C(C)(C)C)C(=O)[C@@H](C3=O)C4(C)C)CC2)cccc1,NA,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
884,O(C)c1c(CCCCNC2=NC(=O)[C@H](Cc3cnc(C)cc3)C=N2)nccc1,NA,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
885,O(C)C12[C@@H]3Oc4c(O)ccc5c4[C@@]43C([C@H](N(CC3CC3)CC4)C5)(C1)C2.O[C@](C(C)(C)C)(C=C)C,NA,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
886,O(C)[C-]1C(CC)=C(C)N2C(=[N+H]1)NC(c1nc(C)on1)=C2,NA,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
887,O(C)[C-]1[N+H]=C2N(C3=C1CCCC3)C=C(c1nc(C)on1)N2,NA,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
888,O(C)[C@H]1[C@H](O[C@H]2O[C@@H](C)[C@H](O)[C@@H](OC)C2)[C@@H](C)O[C@@H](O[C@@H]/2[C@H](C)/C=C/C=C\3/[C@]4(O)[C@H]([C@H](O)C(C)=C[C@H]4C(=O)O[C@@H]4C[C@]5(O[C@H](C(C)C)[C@@H](C)CC5)O[C@@H](C4)C/C=C\2/C)OC/3)C1,NA,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
889,O(C)[C@H]1[C@H](O)[C@H](C)O[C@@H](O[C@@H]2[C@H](C)[C@@H](O[C@H]3[C@@H](O)[C@H](N(C)C)C[C@@H](C)O3)[C@@H](C)C[C@@]3(C(=O)[C@@H](C)[C@@H](O)[C@H](C)[C@@H](C)OC(=O)[C@@H]2C)OC3)C1,NA,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
890,O(C)[C@H]1[C@@]2(OC)[C@H]3[C@@](O)(CCC)c4c(O)ccc5c4[C@@]41[C@@]([C@H](N(CC=C)CC4)C5)(C=C2)C3,NA,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
891,O(C)[C@]12[C@H]([C@](O)(CCC)C)C[C@@]3([C@H]4N(C)CC[C@]53[C@@H]1Oc1c(O)ccc(c51)C4)C=C2,NA,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
892,O(C)[C@@H]1O[C@@H]2[C@@H](C)[C@@H]3[C@H]1[C@@](CN1CCCCC1)([C@@H](O)C3)O2,NA,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
893,O(C)[C@@H]1[C@@H](O)CC[C@H](/C=C(\C)/[C@@H]2[C@@H](C)[C@H](O)CC(=O)[C@H](CC=C)/C=C(/C)\C[C@@H](C)C[C@H](OC)[C@H]3[C@@H](OC)C[C@@H](C)[C@@](O)(C(=O)C(=O)N4[C@@H](C(=O)O2)CCCC4)O3)C1,NA,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
894,O(C)[C@@]12[C@@H](C(O)(C)C)C[C@]3([C@@H]4N(CC5CC5)CC[C@@]53[C@H]1Oc1c(O)ccc(c51)C4)C=C2,101606270,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
895,O(C(CO)CO)CN1[C@H]2N[C@@H](N)N[C@H](O)[C@H]2NC1,NA,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
896,O(C(c1ccccc1)c1ccccc1)C1C[C@@H]2N(C)[C@H](C1)CC2,1201549,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
897,O(C(C)C)CC(OCn1c2NC(N)=NCc2nc1)COC(C)C,511883,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
898,O([C@H]1[C@H](O)[C@H](O[C@H]2[C@@H](O)[C@H](NC)[C@@](O)(C)CO2)[C@H](N)C[C@H]1N)[C@H]1[C@@H](N)CC=C(CN)O1,NA,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
899,O([C@H]1[C@H](O)[C@H](O)[C@@H](N)C[C@H]1N)[C@H]1[C@H](N)C[C@H]2O[C@@H](O[C@@H]3[C@H](O)[C@@H](O)[C@H](N)[C@H](CO)O3)[C@@H](NC)[C@H](O)[C@H]2O1,NA,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
900,O([C@H]1[C@H](O)[C@@H](O[C@H]2[C@H](N)CC[C@H](CN)O2)[C@@H](N)C[C@@H]1N)[C@@H]1[C@@H](O)[C@@H](N)[C@H](O)[C@@H](CO)O1,NA,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
901,O([C@H]1[C@H](C)O[C@H](O[C@@H]2c3c(O)c4C(=O)c5c(O)cccc5C(=O)c4c(O)c3[C@@H](O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](N(C)C)C3)[C@](O)(CC)C2)C[C@@H]1N(C)C)[C@@H]1O[C@H](C)[C@H]2O[C@@H]3O[C@H](C)C(=O)C[C@@H]3O[C@@H]2C1,NA,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
902,O([C@H]1[C@H](C)[C@@H](O[C@@H]2O[C@@H](C)[C@H](O)[C@@](OC)(C)C2)[C@H](C)C(=O)O[C@H](CC)[C@@](O)(C)[C@H](O)[C@@H](C)C(=O)[C@@H](C)C[C@]1(OC)C)[C@@H]1[C@@H](O)[C@@H](N(C)C)C[C@@H](C)O1,NA,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
903,O([C@H]1[C@H](C)[C@@H](O[C@@H]2O[C@@H](C)[C@H](O)[C@@](OC)(C)C2)[C@H](C)C(=O)O[C@H](CC)[C@@](O)(C)[C@H](O)[C@@H](C)C(=O)[C@@H](C)C[C@@]1(O)C)[C@@H]1[C@@H](O)[C@H](N(C)C)C[C@H](C)O1,NA,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
904,O([C@H]1[C@@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@](OC)(C)C2)[C@@H](C)C(=O)O[C@@H](CC)[C@H](C)[C@@H](O)[C@H](C)C(=O)[C@@H](C)C[C@]1(O)C)[C@@H]1[C@@H](O)[C@H](N(C)C)C[C@@H](C)O1,NA,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
905,O([C@H](OC(=O)C1=C(COC(=O)N)CS[C@H]2[C@H](NC(=O)/C(=N/OC)/c3occc3)C(=O)N12)C)C(=O)C(OC)(C)C,NA,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
906,O([C@H](COCCCC)CN1C(=O)[C@@](CC)(c2ccccc2)C(=O)NC1=O)C(=O)N,10069846,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
907,O([C@H](c1c(C)cccc1)c1ccccc1)CCNC,36690649,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
908,O([C@H](c1c(C)cccc1)c1ccccc1)CCN(C)C,736041,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
909,O([C@H](C(=O)N[C@@H]1C(=O)N2[C@H](C(=O)O)C(C)(C)S[C@H]12)CC(C)C)C(=O)c1occc1,NA,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
910,O([C@H](C([C@@H](OC(=O)N)C)C)C)C(=O)N,124303682,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
911,O([C@H](C#C)c1ccccc1)C(=O)N,76971838,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
912,O([C@H]([C@H]1NCCCC1)c1ccccc1)C(=O)C,65715,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
913,O([C@H]([C@@H]1OCCNC1)c1ccccc1)c1c(OCC)cccc1,5311403,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
914,O([C@H](/C(=N/O)/N)C)c1c2c(ccc1)cccc2,129360240,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
915,O([C@](C)(c1ncccc1)c1ccccc1)CCN(C)C,25271652,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
916,O([C@@H]1[C@H](O)[C@H](O[C@H]2[C@@H](O)[C@H](NC)[C@@](O)(C)CO2)[C@H](NCC)C[C@H]1N)[C@@H]1[C@H](N)CC=C(CN)O1,NA,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
